link,model,tuned,select_on,eps_rmse,eps_bias,eps_corr,regret,pct_negative,policy_profit,policy_se,logloss
probit,glm (v1),True,logloss,1.2441284416569423,-0.5557372557277191,0.8109404824207798,6.243158457800363,0.0,89.0638577322516,4.318631754460667,0.5174534203576651
probit,glm (v1),False,regret,1.2441284416569423,-0.5557372557277191,0.8109404824207798,6.243158457800363,0.0,89.0638577322516,4.318631754460667,0.5174534203576651
probit,glm+interactions (v2),True,logloss,1.2310123355819906,-0.5223316767937196,0.7913208369360537,8.204670614316992,0.0,89.69374692747415,4.435717285902647,0.5177286035788583
probit,glm+interactions (v2),False,regret,1.2153604853967273,-0.4995350121538431,0.7942950851956642,7.6135168248244325,0.0,90.49125914089917,4.4474327068318305,0.5175667713940469
probit,gbm (v1),True,logloss,2.6001214503695587,-0.6004479981546855,0.14520598388285633,18.726783584398596,0.02648,85.41736238058142,4.313571905358769,0.5260664165666481
probit,gbm (v1),False,regret,1.3514110366601613,-0.3928178473276549,0.5891468868581877,8.998237493679394,0.00248,89.578509743397,4.413234836248291,0.5340665947178322
probit,gbm (v2: I1+I2+I3+I4),True,logloss,2.08501878562065,-1.3303360282614656,0.5520961066280818,15.025196147143323,0.3312,88.93312960889519,4.3586651601110935,0.5202636166404258
probit,gbm (v2: I1+I2+I3+I4),False,regret,1.4341095796853298,-0.0861799928828968,0.4594139127801046,2.0628056053163926,0.0,88.1804384780484,4.179072721269823,0.5271933221630184
probit,tlearner (v1),True,logloss,2.930316984399665,-0.16523255817429794,0.3960737964145183,16.840212883020353,0.23008,88.78236708065091,4.2087765182870935,0.5296377800650648
probit,tlearner (v1),False,regret,1.424131643452079,-0.6209255661896409,0.6150440100414264,7.712208617143066,0.0584,91.19673883923643,4.496938644864621,0.5380021552793803
probit,tlearner (anchored),True,logloss,1.395316129989562,-0.23955687147883564,0.6364088666852722,8.076422314622342,8e-05,89.35858651203235,4.201521586667664,0.5263488137027608
probit,tlearner (anchored),False,regret,0.9589581235866097,-0.3684425311311479,0.8458010971289823,3.3486659963573238,0.00034666666666666667,90.80298463533462,4.364416514688283,0.5483328467306445
probit,aipw arm effects,True,logloss,5.639610097882306,0.20313853307740093,0.33359267559781,13.204504959719868,0.20661333333333334,87.12724880276762,4.066412819364081,0.5313139354659467
probit,aipw arm effects,False,regret,1.762909985039547,-0.5878323044939,0.3408389964078225,10.835927550172212,8e-05,86.66770250161576,4.067515522842945,0.5543085649539422
kinked,glm (v1),True,logloss,0.3773297052705428,-0.06086908770915156,0.5160453863569686,0.11851376117132836,0.0,115.26474896651735,5.140650609773125,0.6163550158460113
kinked,glm (v1),False,regret,0.3773297052705428,-0.06086908770915156,0.5160453863569686,0.11851376117132836,0.0,115.26474896651735,5.140650609773125,0.6163550158460113
kinked,glm+interactions (v2),True,logloss,0.7557390386282261,-0.0852455128116879,0.24201006667383979,16.1942070177155,0.07850666666666667,109.1424173319131,4.306929359261094,0.6157728570103509
kinked,glm+interactions (v2),False,regret,0.38289289918912245,-0.07893285279196205,0.5085908463837536,0.40000247511085874,0.0,114.92683261471015,5.123547528892495,0.6161461771164076
kinked,gbm (v1),True,logloss,0.9360883848058222,-0.23479918127819177,0.1354630762859806,6.978196563827506,0.04208,112.86478904633198,5.046207556041115,0.6205630320211607
kinked,gbm (v1),False,regret,0.53040051874572,-0.06307879044365139,0.2990486411487839,1.8569679248650799,0.009653333333333333,114.22464579681179,5.064228486865304,0.630700360606462
kinked,gbm (v2: I1+I2+I3+I4),True,logloss,0.9907321534413711,-0.696179829484285,0.4460925660962877,0.8972201284545759,0.372,116.40198993689357,5.231107861568451,0.6165805687371115
kinked,gbm (v2: I1+I2+I3+I4),False,regret,0.9907321534413711,-0.696179829484285,0.4460925660962877,0.8972201284545759,0.372,116.40198993689357,5.231107861568451,0.6165805687371115
kinked,tlearner (v1),True,logloss,1.095704384981263,-0.06244209697671799,0.24201204518615288,9.324716838144418,0.19962666666666667,112.45488612191733,4.789500465544437,0.6228437104378862
kinked,tlearner (v1),False,regret,0.5159130089788461,-0.11194101310354854,0.4203848101548474,0.9189621514619124,0.028133333333333333,115.35473489116828,5.128937215206027,0.6348165880172342
kinked,tlearner (anchored),True,logloss,0.8695283155846836,0.1310064485925445,0.34432221989788053,9.64786945384771,0.00010666666666666667,112.38903611773586,4.782558425153921,0.6197298299791871
kinked,tlearner (anchored),False,regret,0.6846258450304553,-0.5703934144175753,0.46548201848052895,0.20867685557933802,2.6666666666666667e-05,115.23290929974328,5.141494426999486,0.6220415186456018
kinked,aipw arm effects,True,logloss,1.8473603856433127,-0.0024445391458602916,0.2121182991866409,16.957615171114465,0.2628,111.79802157694586,4.77586115831423,0.6226228159639973
kinked,aipw arm effects,False,regret,0.5864893272522221,-0.11943171506768613,0.3734277862180594,2.0394611169670585,0.07029333333333333,114.33051625880587,5.095540509278137,0.6549953017531331
mixed,glm (v1),True,logloss,1.352110812053029,-0.6100562275016894,0.7678241116707136,8.527801264970142,0.0,86.90922273705868,4.309935876642019,0.5130296420093708
mixed,glm (v1),False,regret,1.3430627790874792,-0.595699357868928,0.7669426932437081,8.332623538566825,0.0,86.57518682694545,4.3050938861017904,0.5130381968575738
mixed,glm+interactions (v2),True,logloss,1.3331121199935891,-0.5599620103806295,0.7433460203124259,10.012561782550492,0.0,87.76201577375664,4.419769672380856,0.5124502291352523
mixed,glm+interactions (v2),False,regret,1.308088834570339,-0.5211853128707216,0.747381046293452,9.36519802812186,0.0,87.9112996935434,4.4274158342298815,0.5124093346861449
mixed,gbm (v1),True,logloss,2.575491702555876,-0.6480986178366701,0.19556227976488647,17.894526454882975,0.032986666666666664,84.47538221304374,4.293946757972283,0.5185213268150188
